fips,description
06037,"Los Angeles County, CA"
17031,"Cook County, IL"
48201,"Harris County, TX"
04013,"Maricopa County, AZ"
06073,"San Diego County, CA"
06059,"Orange County, CA"
12086,"Miami-Dade County, FL"
36047,"Kings County, NY"
48113,"Dallas County, TX"
06065,"Riverside County, CA"
36081,"Queens County, NY"
06071,"San Bernardino County, CA"
53033,"King County, WA"
32003,"Clark County, NV"
48439,"Tarrant County, TX"
06085,"Santa Clara County, CA"
12011,"Broward County, FL"
48029,"Bexar County, TX"
26163,"Wayne County, MI"
36061,"New York County, NY"
06001,"Alameda County, CA"
25017,"Middlesex County, MA"
42101,"Philadelphia County, PA"
36103,"Suffolk County, NY"
06067,"Sacramento County, CA"
36005,"Bronx County, NY"
12099,"Palm Beach County, FL"
36059,"Nassau County, NY"
12057,"Hillsborough County, FL"
39035,"Cuyahoga County, OH"
12095,"Orange County, FL"
26125,"Oakland County, MI"
39049,"Franklin County, OH"
42003,"Allegheny County, PA"
27053,"Hennepin County, MN"
48453,"Travis County, TX"
51059,"Fairfax County, VA"
06013,"Contra Costa County, CA"
49035,"Salt Lake County, UT"
24031,"Montgomery County, MD"
37119,"Mecklenburg County, NC"
04019,"Pima County, AZ"
29189,"St. Louis County, MO"
37183,"Wake County, NC"
13121,"Fulton County, GA"
15003,"Honolulu County, HI"
36119,"Westchester County, NY"
06019,"Fresno County, CA"
55079,"Milwaukee, WI"
09001,"Fairfield County, CT"
12103,"Pinellas County, FL"
47157,"Shelby County, TN"
18097,"Marion County, IN"
17043,"DuPage County, IL"
34003,"Bergen County, NJ"
36029,"Erie County, NY"
12031,"Duval County, FL"
24033,"Prince George's County, MD"
09003,"Hartford County, CT"
48085,"Collin County, TX"
13135,"Gwinnett County, GA"
06029,"Kern County, CA"
09009,"New Haven County, CT"
26099,"Macomb County, MI"
06075,"San Francisco County, CA"
06111,"Ventura County, CA"
48141,"El Paso County, TX"
53053,"Pierce County, WA"
34023,"Middlesex County, NJ"
48215,"Hidalgo County, TX"
24005,"Baltimore County, MD"
42091,"Montgomery County, PA"
25027,"Worcester County, MA"
39061,"Hamilton County, OH"
34013,"Essex County, NJ"
41051,"Multnomah County, OR"
25009,"Essex County, MA"
25025,"Suffolk County, MA"
40109,"Oklahoma County, OK"
21111,"Jefferson County, KY"
53061,"Snohomish County, WA"
06081,"San Mateo County, CA"
48121,"Denton County, TX"
36055,"Monroe County, NY"
13067,"Cobb County, GA"
13089,"DeKalb County, GA"
06077,"San Joaquin County, CA"
17097,"Lake County, IL"
25021,"Norfolk County, MA"
17197,"Will County, IL"
48157,"Fort Bend County, TX"
29095,"Jackson County, MO"
12071,"Lee County, FL"
35001,"Bernalillo County, NM"
34017,"Hudson County, NJ"
47037,"Davidson County, TN"
08041,"El Paso County, CO"
08031,"Denver County, CO"
01073,"Jefferson County, AL"
11001,"District of Columbia, DC"
12105,"Polk County, FL"
44007,"Providence County, RI"
40143,"Tulsa County, OK"
26081,"Kent County, MI"
34025,"Monmouth County, NJ"
42017,"Bucks County, PA"
24510,"Baltimore City County, MD"
